dataset,instance,solver,status,makespan,time_ms,time_limit_s,workers,seed,starts,output_format_ok,output_line
sm_j10,PSP74.SCH,solver_3,feasible,34,1600.5,2.00,8,42,120,true,"8, 0, 4, 7, 9, 18, 25, 25, 21, 0"
sm_j10,PSP75.SCH,solver_3,feasible,25,1600.1,2.00,8,42,120,true,"6, 19, 6, 0, 0, 19, 23, 24, 24, 13"
sm_j10,PSP76.SCH,solver_3,feasible,30,1601.8,2.00,8,42,120,true,"19, 0, 26, 0, 6, 26, 9, 20, 16, 7"
sm_j10,PSP77.SCH,solver_3,feasible,48,1602.9,2.00,8,42,120,true,"5, 0, 0, 19, 9, 19, 44, 29, 37, 29"
sm_j10,PSP78.SCH,solver_3,feasible,23,1600.3,2.00,8,42,120,true,"0, 9, 0, 9, 5, 12, 19, 19, 17, 12"
sm_j10,PSP79.SCH,solver_3,feasible,25,1600.8,2.00,8,42,120,true,"13, 0, 8, 3, 0, 20, 3, 14, 13, 22"
sm_j10,PSP80.SCH,solver_3,feasible,31,1601.1,2.00,8,42,120,true,"10, 0, 0, 8, 8, 18, 24, 16, 25, 29"
sm_j10,PSP81.SCH,solver_3,feasible,19,1600.3,2.00,8,42,120,true,"0, 0, 2, 12, 0, 7, 12, 3, 7, 12"
sm_j10,PSP82.SCH,solver_3,feasible,15,1601.1,2.00,8,42,120,true,"0, 0, 1, 0, 1, 7, 5, 6, 9, 5"
sm_j10,PSP83.SCH,solver_3,feasible,18,1600.9,2.00,8,42,120,true,"0, 0, 5, 7, 0, 10, 5, 15, 7, 9"
sm_j10,PSP84.SCH,solver_3,feasible,30,1600.6,2.00,8,42,120,true,"3, 2, 0, 9, 2, 13, 19, 16, 7, 23"
sm_j10,PSP85.SCH,solver_3,feasible,22,1600.2,2.00,8,42,120,true,"0, 0, 0, 0, 6, 8, 9, 14, 6, 15"
sm_j10,PSP86.SCH,solver_3,feasible,30,1601.4,2.00,8,42,120,true,"7, 20, 0, 10, 0, 17, 21, 25, 24, 25"
sm_j10,PSP87.SCH,solver_3,feasible,32,1601.6,2.00,8,42,120,true,"0, 6, 0, 6, 2, 11, 14, 24, 15, 25"
sm_j10,PSP88.SCH,solver_3,feasible,32,1600.8,2.00,8,42,120,true,"0, 7, 8, 0, 0, 17, 25, 12, 15, 25"
sm_j10,PSP89.SCH,solver_3,feasible,31,1600.5,2.00,8,42,120,true,"10, 0, 10, 13, 0, 16, 21, 28, 27, 21"
sm_j10,PSP90.SCH,solver_3,feasible,39,1601.3,2.00,8,42,120,true,"0, 0, 7, 7, 10, 24, 29, 24, 29, 14"
